EMPRESA,ANO,TIPO
CEDROS HOTEL DE SERRA,2011 / 2012,HOSPEDAGEM
CEDROS HOTEL DE SERRA,2009 / 2010,HOSPEDAGEM
CEDROS HOTEL DE SERRA,2022,HOSPEDAGEM
CELIA BEZERRA BEM-CASADOS,2022,ALIMENTAÇÃO FORA DO LAR
CELIA BEZERRA BEM-CASADOS,2023,ALIMENTAÇÃO FORA DO LAR
CENÁRIO IDEAL HOSPEDAGEM ,2022,HOSPEDAGEM
CENTRAL GOURMET,2018,ALIMENTAÇÃO FORA DO LAR
CENTRAL GOURMET,2019,ALIMENTAÇÃO FORA DO LAR
CENTRO DE BELEZA PINHEIRO'S LTDA,2024,SERVIÇOS DE ESTÉTICA
CENTRO DE BELEZA PINHEIRO'S LTDA,2022,SERVIRÇOS DE ESTÉTICA
CENTRO DE DIABETES RITA MARIA ARRAIS,2025,SERVIÇOS DE SAÚDE
CENTRO DE ESTUDOS DE SOBRAL,2024,COWORKING
CENTRO DE SAUDE ODONTOLOGICA DR MAGELA JR LTDA,2025,SERVIÇOS DE SAÚDE
CENTRO DE SAUDE ODONTOLOGICA DR MAGELA JR LTDA,2024,SERVIÇOS DE SAÚDE
CENTRO DIOCESANO DE PASTORAL,2014,HOSPEDAGEM
CENTRO MEDICO CORY,2025,SERVIÇOS DE SAÚDE
"CENTRO MULTIDISCIPLINAR EM SAUDE, ASSESSORIA EDUCACIONAL & BRINQUEDOS LTDA",2025,SERVIÇOS DE SAÚDE
CHALÉ CASA GRANDE,2025,HOSPEDAGEM 
CHALÉ NOSSO SITIO,2022,HOSPEDAGEM
CHALÉ NOSSO SÍTIO,2024,HOSPEDAGEM 
CHALÉ NOSSO SÍTIO,2023,HOSPEDAGEM
CHALÉ NOSSO SÍTIO,2015,HOSPEDAGEM
CHALÉS BAYERN ,2024,HOSPEDAGEM 
CHALÉS ENCONTRO DAS BRISAS,2016,HOSPEDAGEM
CHALÉS ENCONTRO DAS BRISAS,2015,HOSPEDAGEM
HOTEL JANGADAS,2013,HOSPEDAGEM
HOTEL JANGADAS,2021,HOSPEDAGEM
CHANGE INTERCÂMBIO E TURISMO,2024,AGÊNCIA DE VIAGENS 
CHANGE INTERCÂMBIO E TURISMO,2023,AGÊNCIA DE VIAGENS 
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2015,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2024,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2022,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2019,ALIMENTAÇÃO FORA DO LAR
CHEGA MAIS BEACH BARRACA E RESTAURANTE,2018,ALIMENTAÇÃO FORA DO LAR
CHICO DO CARANGUEJO CUMBUCO,2019,ALIMENTAÇÃO FORA DO LAR
CHOCOBERRY,2017,ALIMENTAÇÃO FORA DO LAR
CHOCOBERRY,2016,ALIMENTAÇÃO FORA DO LAR
CHOCOBERRY,2015,ALIMENTAÇÃO FORA DO LAR
CHROMOS DIAGNÓSICO POR IMAGEM,2022,SERVIÇOS DE SAUDE
CHURRASCARIA BELA BRASA,2015,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2024,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS - 1,2016,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS - 2,2016,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2017,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS - FÁTIMA,2015,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS - FÁTIMA,2014,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2015,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2014,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2013,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2019,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2023,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS,2018,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS – FÁTIMA,2017,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS – FÁTIMA,2013,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS – FÁTIMA,2024,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS – FÁTIMA,2023,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS – FÁTIMA,2019,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS – FÁTIMA,2018,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS – MONTESE,2024,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA PICANHA DO JONAS – MONTESE,2023,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA TEMPERO CASEIRO,2024,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA E PIZZARIA TEMPERO CASEIRO,2022,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA ELLEN,2019,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA ELLEN,2018,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA MÃO DE VACA,2024,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA MÃO DE VACA,2023,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA MÃO DE VACA,2019,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA MÃO DE VACA,2018,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA MÃO DE VACA,2017,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PARQUE RODEIO,2018,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PARQUE RODEIO,2017,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PARQUE RODEIO,2013,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PESSOA,2019,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PESSOA,2018,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PITOMBEIRA,2019,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PITOMBEIRA,2017,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PITOMBEIRA,2016,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PITOMBEIRA,2015,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PITOMBEIRA,2014,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PITOMBEIRA,2013,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PITOMBEIRA,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA PITOMBEIRA,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA TEMPERO CASEIRO,2023,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA TEMPERO GRILL,2025,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA TEMPERO GRILL,2023,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA TEMPERO GRILL,2022,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA TOUROS GRILL,2016,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA YPIRANGA,2017,ALIMENTAÇÃO FORA DO LAR
CHURRASCARIA YPIRANGA,2016,ALIMENTAÇÃO FORA DO LAR
CHURRASCOS E GRELHADOS COMERCIO DE ALIMENTOS LTDA,2024,ALIMENTAÇÃO FORA DO LAR
CICATRIZYMED,2024,SERVIÇOS DE SAÚDE
CÍCEROS BAR,2014,ALIMENTAÇÃO FORA DO LAR
CITOLAB,2025,SERVIÇOS LABORATORIAIS
CLEANE ESTHETICS CENTER,2024,SERVIÇOS DE ESTÉTICA
CLIMEV - CLINICA MÉDICA DE VARJOTA LTDA,2024,SERVIÇOS DE SAÚDE
CLIMEV - CLINICA MÉDICA DE VARJOTA LTDA,2023,SERVIÇOS DE SAÚDE
CLINI LAB POPULAR,2025,SERVIÇOS DE SAÚDE
CLÍNICA BIOESTHETIC,2023,SERVIÇOS DE ESTÉTICA
CLINICA BOSS - MEDICINA E IMUNIZAÇÃO,2024,SERVIÇOS DE SAÚDE
CLINICA BOSS - MEDICINA E IMUNIZAÇÃO,2023,SERVIÇOS DE SAÚDE
CLINICA BOSS - MEDICINA E IMUNIZAÇÃO,2022,SERVIÇOS DE SAUDE
CLÍNICA CÂNDIDO TORRES,2023,SERVIÇOS DE SAÚDE
CLINICA CEMI,2025,SERVIÇOS DE SAÚDE
CLÍNICA CLIZA,2023,SERVIÇOS DE SAÚDE
CLÍNICA DE ESPECIALIDADES MEDICAS DRA GESSICA MONIQUE LTDA,2024,SERVIÇOS DE SAÚDE
CLINICA DE ESTETICA - ANA FLOR,2023,SERVIÇOS DE ESTÉTICA
CLÍNICA DE IMAGEM SOBRAL,2022,SERVIÇOS DE SAUDE
CLÍNICA DE IMAGEM SOBRAL,2024,SERVIÇOS DE SAÚDE
CLÍNICA DE OLHOS JAGUARIBE,2023,SERVIÇOS DE SAÚDE
CLINICA DO CORAÇÃO DE SOBRAL,2024,SERVIÇOS DE SAÚDE
CLINICA DO CORAÇÃO DE SOBRAL,2023,SERVIÇOS DE SAÚDE
CLINICA DO JOELHO,2024,SERVIÇOS DE SAÚDE
CLINICA DR JOSE NILSON - UNIDADE SÃO LUCAS,2024,SERVIÇOS DE SAÚDE
CLINICA DR. GUSTAVO NOGUEIRA,2024,SERVIÇOS DE SAÚDE
CLINICA DR. GUSTAVO NOGUEIRA,2023,SERVIÇOS DE SAÚDE
CLÍNICA DR. JOSÉ NILSON,2024,SERVIÇOS DE SAÚDE
CLÍNICA DR. RAFAEL,2025,SERVIÇOS DE SAÚDE
CLÍNICA DR. RAFAEL,2024,SERVIÇOS DE SAÚDE
CLÍNICA DR. RAFAEL,2023,SERVIÇOS DE SAÚDE
CLÍNICA DRA. MANOHELEN MELO,2025,SERVIÇOS DE SAÚDE
CLÍNICA DRA. MICHELLE PONTE MADEIRA,2025,SERVIÇOS DE SAÚDE
CLÍNICA DRA. SAMARA BONFIM,2025,SERVIÇOS DE SAÚDE
CLINICA EQUILIBRIUM,2024,SERVIÇOS DE SAÚDE
CLINICA INSTITUTO LANDIM CORREIA,2024,SERVIÇOS DE SAÚDE
"CLINICA JEANE BATALHA - ESTETICA, SAUDE & BEM- ESTAR",2025,SERVIÇOS DE SAÚDE
CLÍNICA JÚLIA ALVES ,2024,SERVIÇOS DE SAÚDE
CLINICA LACME,2023,SERVIÇOS DE SAÚDE
CLINICA MARCELO PIERRE DE BRITO LTDA,2024,SERVIÇOS DE SAÚDE
CLINICA MEDICA CUIDAR,2024,SERVIÇOS DE SAÚDE
CLINICA MEDICA DR FABIO MACHADO,2023,SERVIÇOS DE SAÚDE
CLINICA MÉDICA DR. FÁBIO MACHADO,2024,SERVIÇOS DE SAÚDE
CLÍNICA MÉDICA DR. FÁBIO MACHADO,2022,SERVIÇOS DE SAUDE
CLINICA ODONTOLOGICA DRA LYNDANARA,2025,SERVIÇOS DE SAÚDE
CLINICA ODONTOLOGICA ESPACO SAUDE ROSARIO LTDA,2024,SERVIÇOS DE SAÚDE
CLÍNICA OFTALMOLÓGICA SANTA LUZIA,2024,SERVIÇOS DE SAÚDE
CLÍNICA PRÓ-VIDA E SAÚDE ESPAÇO ESTÉTICA,2023,SERVIÇOS DE SAÚDE
CLINICA RIZZO VIÇOSA,2024,SERVIÇOS DE SAÚDE
CLINICA SÃO BERNARDO,2025,SERVIÇOS DE SAÚDE
CLINICA SÃO BERNARDO,2024,SERVIÇOS DE SAÚDE
CLINICA SÃO BERNARDO,2023,SERVIÇOS DE SAÚDE
CLINICA TESAI,2025,SERVIÇOS DE SAÚDE
CLINICA TESAI,2024,SERVIÇOS DE SAÚDE
CLÍNICA ÚNICA DE SAÚDE LTDA,2023,SERVIÇOS DE SAÚDE
CLINICA VIVER SAUDE,2024,SERVIÇOS DE SAÚDE
CLUB DA PIZZA & ESFIRRA,2019,ALIMENTAÇÃO FORA DO LAR
CLUBE TURISMO WASHINGTON SOARES LTDA,2023,AGÊNCIA DE VIAGENS 
CLUBVENTOS,2019,ALIMENTAÇÃO FORA DO LAR
CLUBVENTOS,2015,ALIMENTAÇÃO FORA DO LAR
CLUBVENTOS,2013,ALIMENTAÇÃO FORA DO LAR
CLUBVENTOS,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
CLUBVENTOS,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
CLUBVENTOS,2018,HOSPEDAGEM
CLUBVENTOS,2014,HOSPEDAGEM
COFFEE BREAK,2024,ALIMENTAÇÃO FORA DO LAR
COIFE ODONTO ITAPIPOCA,2024,SERVIÇOS DE SAÚDE
COISAS DA LEIA AÇAÍ ARTE CAFÉ,2025,ALIMENTAÇÃO FORA DO LAR
COLISEUM BEACH HOTEL,2024,HOSPEDAGEM 
COLISEUM BEACH HOTEL,2023,HOSPEDAGEM
COLISEUM BEACH HOTEL,2022,HOSPEDAGEM
COLISEUM BEACH HOTEL,2019,HOSPEDAGEM 
COLISEUM BEACH HOTEL,2015,HOSPEDAGEM
COLISEUM BEACH HOTEL,2018,HOSPEDAGEM
COLISEUM BEACH HOTEL,2017,HOSPEDAGEM
COLISEUM BEACH HOTEL,2016,HOSPEDAGEM
COLISEUM BEACH HOTEL,2014,HOSPEDAGEM
COLISEUM BEACH HOTEL,2011 / 2012,HOSPEDAGEM
COLISEUM BEACH HOTEL,2009 / 2010,HOSPEDAGEM
COLLINA BEACH,2024,HOSPEDAGEM 
COLLINA BEACH,2023,ALIMENTAÇÃO FORA DO LAR
COLLYER & CAVALCANTE LTDA - AÇAÍ ORIGINAL,2023,ALIMENTAÇÃO FORA DO LAR
COMERCIAL DE GAS OH LTDA,2024,LOJAS DE VAREJO
COMFORT HOTEL,2017,HOSPEDAGEM
COMFORT HOTEL,2016,HOSPEDAGEM
COMFORT HOTEL,2015,HOSPEDAGEM
COMPLEX ACADEMIA DE MUSCULACAO CENTRO POLIESPORTIVO E DE BEM ESTAR LTDA,2021,ACADEMIA
COMPLEXO DE SAUDE PRONTOMED,2025,SERVIÇOS DE SAÚDE
COMPLEXO MA,2024,SERVIÇOS DE SAÚDE
COMPLEXO MA,2023,SERVIÇOS DE SAÚDE
COMPLEXO MA,2022,SERVIÇOS DE SAUDE
COMPLEXO METABOLIC,2024,SERVIÇOS DE SAÚDE
COMPLEXO METABOLIC,2022,SERVIÇOS DE SAUDE
COMPLEXO METABOLIC,2023,SERVIÇOS DE SAÚDE
COMPLEXO TRADIÇÃO,2015,ALIMENTAÇÃO FORA DO LAR
CONEXÃO SAÚDE - ALIMENTAÇÃO SAUDÁVEL,2023,ALIMENTAÇÃO FORA DO LAR
CONEXÃO SAÚDE - ALIMENTAÇÃO SAUDÁVEL,2022,ALIMENTAÇÃO FORA DO LAR
CONFRARIA DE GUARAMIRANGA,2016,ALIMENTAÇÃO FORA DO LAR
CONFRARIA DE GUARAMIRANGA,2015,ALIMENTAÇÃO FORA DO LAR
CONIMAKI,2019,ALIMENTAÇÃO FORA DO LAR
CONIMAKI,2018,ALIMENTAÇÃO FORA DO LAR
CONIMAKI,2017,ALIMENTAÇÃO FORA DO LAR
CONIMAKI,2016,ALIMENTAÇÃO FORA DO LAR
CONIMAKI,2015,ALIMENTAÇÃO FORA DO LAR
CONSULTÓRIO CLÁUDIA GALDINO,2022,SERVIÇOS DE SAUDE
CONSULTÓRIO KALINNE RIBEIRO,2025,SERVIÇOS DE SAÚDE
CONSULTÓRIO MARIA CLÁUDIA GALDINO ARAÚJO LIMA,2023,SERVIÇOS DE SAÚDE
CONTRASTES RESTAURANTE ,2024,ALIMENTAÇÃO FORA DO LAR
CONVENIÊNCIA DUARTE,2023,ALIMENTAÇÃO FORA DO LAR
COPPA BAR,2016,ALIMENTAÇÃO FORA DO LAR
COPPA BAR,2015,ALIMENTAÇÃO FORA DO LAR
COWORKING ALDEOTA,2025,COWORKING
CRAVO E CANELA CAFÉ,2024,ALIMENTAÇÃO FORA DO LAR
CRAVO E CANELA CAFÉ,2023,ALIMENTAÇÃO FORA DO LAR
CRAVO E CANELA CAFÉ,2022,ALIMENTAÇÃO FORA DO LAR
CREPITOS CREPERIA LTDA,2024,ALIMENTAÇÃO FORA DO LAR
CREPITOS CREPERIA LTDA,2023,ALIMENTAÇÃO FORA DO LAR
CSI LOCSERVICE LOCAÇÕES DE EQUIPAMENTO,2022,EMPRESA DE EVENTOS
CSI LOCSERVICE LOCAÇÕES DE EQUIPAMENTO,2019,EMPRESA DE EVENTOS
CSI LOCSERVICE LOCAÇÕES DE EQUIPAMENTO,2024,EMPRESA DE EVENTOS
CSI LOCSERVICE LOCAÇÕES DE EQUIPAMENTO,2023,EMPRESA DE EVENTOS
CUIDA COWORKING,2024,COWORKING
CUPIM NA BRASA,2022,ALIMENTAÇÃO FORA DO LAR
DAMARI TORTAS E CHOCOLATES FINOS,2017,ALIMENTAÇÃO FORA DO LAR
DAN COOKIES,2024,ALIMENTAÇÃO FORA DO LAR
DAYO POUSADA LTDA,2024,HOSPEDAGEM 
DE LA GRILL SELF SERVICE,2015,ALIMENTAÇÃO FORA DO LAR
DE PRAIA BRASIL,2018,HOSPEDAGEM
DELÍCIA.COM,2023,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS,2013,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS,2024,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS,2014,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS,2009 / 2010,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS,2022,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS,2018,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS I,2017,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS I,2016,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS II,2017,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DAS JANGADAS II,2016,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DO TRIGO,2019,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DO TRIGO,2018,ALIMENTAÇÃO FORA DO LAR
DELÍCIAS DO TRIGO,2016,ALIMENTAÇÃO FORA DO LAR
DELICIE UBAJARA CAFETERIA,2025,ALIMENTAÇÃO FORA DO LAR
DELICIE UBAJARA CAFETERIA,2024,ALIMENTAÇÃO FORA DO LAR
DELLA GRILL,2018,ALIMENTAÇÃO FORA DO LAR
DELTA’S TABAJARA FLAT,2015,HOSPEDAGEM
DELTA’S TABAJARA FLAT,2014,HOSPEDAGEM
DIAGNOSIS LABORATORIO E SERVICOS DE SAUDE,2025,SERVIÇOS LABORATORIAIS
DIAGNOSIS LABORATORIO E SERVICOS DE SAUDE,2025,SERVIÇOS LABORATORIAIS
DICAS GOURMET,2019,ALIMENTAÇÃO FORA DO LAR
DIOCESANO BISTRÔ,2018,ALIMENTAÇÃO FORA DO LAR
DIOCESANO BISTRÔ,2016,ALIMENTAÇÃO FORA DO LAR
DIOCESANO BISTRÔ,2014,ALIMENTAÇÃO FORA DO LAR
DIOCESANO BISTRÔ,2015,ALIMENTAÇÃO FORA DO LAR
DIOCESANO HOTEL,2018,HOSPEDAGEM
DIOCESANO HOTEL,2016,HOSPEDAGEM
DIOCESANO HOTEL,2015,HOSPEDAGEM
DIOGO PRAIA HOTEL,2013,HOSPEDAGEM
DIVINA COMIDA ALIMENTOS,2018,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2019,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2018,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2022,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2016,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2015,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2013,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA - 2,2017,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA - 2,2015,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2014,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA - 2,2016,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2017,ALIMENTAÇÃO FORA DO LAR
DIVINA COMIDA RESTAURANTE E PIZZARIA,2023,ALIMENTAÇÃO FORA DO LAR
DIVINA COZINHA,2011 / 2012,ALIMENTAÇÃO FORA DO LAR
DIVINA COZINHA,2019,ALIMENTAÇÃO FORA DO LAR
DIVINA COZINHA - 2,2013,ALIMENTAÇÃO FORA DO LAR
DIVINO FOGÃO,2024,ALIMENTAÇÃO FORA DO LAR
DIVINO FOGÃO,2019,ALIMENTAÇÃO FORA DO LAR
DIVINUS PIZZA EXPRESS,2023,ALIMENTAÇÃO FORA DO LAR
DIVINUS PIZZA EXPRESS,2022,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2023,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2022,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2019,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2018,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2017,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2016,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2015,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2014,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA,2013,ALIMENTAÇÃO FORA DO LAR
DOCE CULTURA ,2024,ALIMENTAÇÃO FORA DO LAR
DOCE DELICIA CAFE CONFEITARIA,2025,ALIMENTAÇÃO FORA DO LAR
DOCE DELICIA CAFE CONFEITARIA,2024,ALIMENTAÇÃO FORA DO LAR
DOLCÈ VITA GUEST HOUSE ,2024,HOSPEDAGEM 
DOM CHURRASCO,2019,ALIMENTAÇÃO FORA DO LAR
DOM CHURRASCO,2018,ALIMENTAÇÃO FORA DO LAR
DOM CHURRASCO,2016,ALIMENTAÇÃO FORA DO LAR
DOM CHURRASCO,2015,ALIMENTAÇÃO FORA DO LAR
DOM CHURRASCO CHOPERIA,2016,ALIMENTAÇÃO FORA DO LAR
DOM LAZZIO PIZZARIA SOCIEDADE UNIPESSOAL LTDA,2024,ALIMENTAÇÃO FORA DO LAR
DOMINUM CRAFT BEER CERVEJARIA ARTESANAL,2022,ALIMENTAÇÃO FORA DO LAR
DONNIS PIZZA,2023,ALIMENTAÇÃO FORA DO LAR
DOR’S BURGER,2013,ALIMENTAÇÃO FORA DO LAR
DOR’S BURGER ALDEOTA,2014,ALIMENTAÇÃO FORA DO LAR
DOR’S BURGER DIONISIO TORRES,2014,ALIMENTAÇÃO FORA DO LAR
DRA CARLIANE FREITAS,2024,SERVIÇOS DE SAÚDE
DRA CINTIA ALVES E JAMES ANDERSON SERVICOS EM ODONTOLOGIA E SAUDE,2023,SERVIÇOS DE SAÚDE
DRA. CINTIA ALVES ODONTOLOGIA ,2022,SERVIÇOS DE SAUDE
DUOCERIMONIAL & EVENTOS ,2024,EMPRESA DE EVENTOS
DYSTAK,2024,LOJAS DE VAREJO
E+ ASSESSORIA EM EVENTOS,2022,EMPRESA DE EVENTOS
E+ ASSESSORIA EM EVENTOS,2019,EMPRESA DE EVENTOS
E+ ASSESSORIA EM EVENTOS,2024,EMPRESA DE EVENTOS
E+ ASSESSORIA EM EVENTOS,2023,EMPRESA DE EVENTOS
EC PORTÃO,2025,LOJAS DE VAREJO
ECOCAMPING LUMIAR,2024,HOSPEDAGEM 
ECOCAMPING LUMIAR,2023,HOSPEDAGEM
EJ CENTRO AUTOMOTIVO,2022,MANUTENÇÃO DE VEÍCULOS
EJ CENTRO AUTOMOTIVO,2023,MANUTENÇÃO DE VEÍCULOS
ELEPHANT COWORKING,2024,COWORKING
ELLO HOTEL,2023,HOSPEDAGEM
ELLO HOTEL,2022,HOSPEDAGEM
ELLO HOTEL,2019,HOSPEDAGEM 
ELLO HOTEL,2018,HOSPEDAGEM
ELLO HOTEL,2017,HOSPEDAGEM
ELLO HOTEL,2024,HOSPEDAGEM 
EMANUELE VASCONCELOS SILVA,2024,SERVIÇOS DE SAÚDE
EMBAIXADA DA CACHAÇA,2023,ALIMENTAÇÃO FORA DO LAR
EMÍDIO PIZZARIA E CHURRASCARIA,2019,ALIMENTAÇÃO FORA DO LAR
EMÍDIO PIZZARIA E CHURRASCARIA,2018,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO CAFÉ,2016,ALIMENTAÇÃO FORA DO LAR
EMPORIO DO BOLO FABRICAÇÃO E COMÉRCIO DE ALIMENTOS LTDA,2023,ALIMENTAÇÃO FORA DO LAR
EMPORIO DO BOLO FABRICAÇÃO E COMÉRCIO DE ALIMENTOS LTDA,2022,ALIMENTAÇÃO FORA DO LAR
EMPORIO EM CASA,2024,ALIMENTAÇÃO FORA DO LAR
EMPORIO FRUTOS DO MAR E SUSHI,2024,ALIMENTAÇÃO FORA DO LAR
EMPORIO GIULIETTA - TARGINO COMÉRCIO DE ALIMENTOS LTDA,2023,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO SAN JOSÉ,2024,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO SAN JOSÉ,2023,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO SERTÕES,2019,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO SERTÕES,2018,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO SERTÕES,2017,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO SERTÕES,2016,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO SERTÕES,2015,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO SUSHI,2023,ALIMENTAÇÃO FORA DO LAR
EMPÓRIO TEXAS BAR,2023,ALIMENTAÇÃO FORA DO LAR
EMPREENDIMENTOS SUL,2022,HOSPEDAGEM
ENDOCLINIC,2024,SERVIÇOS DE SAÚDE
ENGENHO COMPLEXO TRADICAO LTDA,2025,ALIMENTAÇÃO FORA DO LAR
ENGENHOCA PARQUE,2022,EMPRESA DE EVENTOS
ENGENHOCA PARQUE,2024,EMPRESA DE EVENTOS
